uid,AcademicInterest,ExtracurricularActivities,Skills,Major,GPA,Languages,ClubMemberships,ResearchInterests
330,Psychology,Art Club,"Artistic, Leadership",Psychology,3.97,"Chinese, French, Spanish, German, Japanese, English","Coding Club, Debate Club, Volunteer Group, Art Club, Music Club, Sports Team",Artificial Intelligence
331,History,Music Club,"Data Analysis, Programming, Public Speaking, Leadership, Artistic",Mathematics,2.96,"Spanish, English, French, Japanese, Chinese","Music Club, Art Club, Sports Team",Quantum Computing
332,Physics,Music Club,Problem Solving,Computer Science,2.22,"German, English, Japanese, French, Chinese, Spanish","Music Club, Debate Club, Sports Team, Art Club, Coding Club",Urban Planning
333,Physics,Art Club,"Programming, Data Analysis, Artistic, Problem Solving, Public Speaking",Psychology,3.4,"Spanish, English, French, Chinese, Japanese","Coding Club, Volunteer Group",Artificial Intelligence
334,Mathematics,Sports Team,"Leadership, Problem Solving, Public Speaking, Programming",Mathematics,3.15,"English, German","Sports Team, Coding Club, Art Club, Volunteer Group, Debate Club",Behavioral Economics
335,Psychology,Coding Club,"Leadership, Artistic, Problem Solving, Data Analysis, Public Speaking, Programming",History,2.18,"English, Spanish, German, Chinese, Japanese",Debate Club,Renewable Energy
336,Mathematics,Volunteer Group,"Leadership, Artistic, Programming",History,3.83,"Spanish, Japanese, English, French","Coding Club, Volunteer Group, Art Club, Music Club, Debate Club, Sports Team",Renewable Energy
337,History,Music Club,"Public Speaking, Data Analysis, Problem Solving, Leadership, Programming, Artistic",Biology,2.52,"French, German, English, Spanish","Volunteer Group, Art Club, Music Club",Climate Change
338,Computer Science,Debate Club,"Leadership, Problem Solving, Programming",History,3.37,"English, Japanese, French, Chinese, German, Spanish","Music Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Environmental Sustainability
339,Mathematics,Music Club,"Problem Solving, Artistic",History,2.26,"Japanese, German","Music Club, Sports Team, Volunteer Group, Coding Club, Debate Club",Cybersecurity
340,Biology,Coding Club,"Artistic, Leadership",Biology,3.41,"English, Japanese, Spanish, Chinese","Volunteer Group, Debate Club, Sports Team, Coding Club, Art Club, Music Club",Educational Technology
341,Psychology,Music Club,"Problem Solving, Public Speaking, Programming, Artistic",History,2.91,"English, French, Spanish, Japanese, Chinese","Sports Team, Art Club, Music Club, Debate Club",Quantum Computing
342,History,Art Club,"Public Speaking, Problem Solving, Programming, Leadership",Mathematics,2.94,"French, Japanese, Chinese","Coding Club, Sports Team, Debate Club",Blockchain Technology
343,Biology,Coding Club,"Data Analysis, Artistic, Public Speaking, Leadership",Physics,2.1,"German, Japanese",Music Club,Cognitive Psychology
344,Physics,Sports Team,Leadership,Computer Science,2.63,"English, Japanese, German","Debate Club, Art Club, Music Club, Volunteer Group",Social Sciences
345,Biology,Music Club,"Problem Solving, Public Speaking, Programming, Artistic, Leadership",History,3.57,Japanese,Coding Club,Behavioral Economics
346,Mathematics,Coding Club,"Leadership, Programming, Problem Solving, Artistic, Data Analysis, Public Speaking",Mathematics,3.77,"Japanese, French, English, German, Spanish, Chinese","Sports Team, Debate Club, Music Club",Human-Computer Interaction
347,Computer Science,Sports Team,"Public Speaking, Data Analysis, Leadership, Programming",Physics,2.62,"Chinese, German, English","Music Club, Debate Club, Art Club",Urban Planning
348,Physics,Debate Club,"Problem Solving, Public Speaking, Artistic, Leadership, Data Analysis, Programming",Psychology,3.77,"French, Spanish, Chinese, German, Japanese, English",Volunteer Group,Climate Change
349,Psychology,Art Club,"Artistic, Data Analysis, Programming, Problem Solving, Leadership",Psychology,3.89,"English, Japanese, Spanish, German, French, Chinese","Debate Club, Art Club, Coding Club, Volunteer Group",Climate Change
350,Computer Science,Art Club,Artistic,Computer Science,3.68,"English, Chinese, German, Spanish","Music Club, Volunteer Group, Coding Club, Sports Team, Debate Club",Environmental Sustainability
351,Psychology,Debate Club,"Artistic, Problem Solving",Psychology,3.31,Japanese,"Music Club, Volunteer Group",Blockchain Technology
352,Mathematics,Volunteer Group,Programming,Computer Science,3.94,"French, German, English, Chinese, Japanese, Spanish","Debate Club, Coding Club, Sports Team, Volunteer Group",Bioinformatics
353,Computer Science,Sports Team,"Public Speaking, Artistic, Leadership, Problem Solving, Programming, Data Analysis",History,2.73,"Japanese, French, English, Spanish","Volunteer Group, Debate Club, Sports Team, Coding Club, Art Club",Social Sciences
354,History,Art Club,"Leadership, Programming, Public Speaking",History,2.34,"French, Spanish, English, Chinese, Japanese, German","Coding Club, Music Club, Volunteer Group, Art Club, Sports Team",Renewable Energy
355,Biology,Coding Club,"Programming, Artistic",Psychology,2.05,"Spanish, English, French, Japanese, German",Sports Team,Environmental Sustainability
356,Physics,Music Club,"Artistic, Public Speaking",Mathematics,3.19,"English, Japanese, Spanish, German, Chinese",Art Club,Biomedical Engineering
357,Mathematics,Coding Club,"Problem Solving, Data Analysis",Computer Science,3.34,"German, Spanish, French, Chinese, Japanese, English","Debate Club, Music Club, Sports Team, Art Club, Volunteer Group",Climate Change
358,Physics,Coding Club,Programming,Physics,3.76,"French, Spanish, Chinese, German",Art Club,Data Science
359,Biology,Sports Team,Programming,Computer Science,2.54,"English, Japanese, Chinese","Sports Team, Art Club, Debate Club, Volunteer Group, Music Club",Space Exploration
360,Computer Science,Coding Club,"Artistic, Public Speaking, Leadership, Programming, Data Analysis, Problem Solving",Psychology,2.98,"Japanese, Spanish","Art Club, Debate Club, Coding Club, Volunteer Group",Behavioral Economics
361,History,Music Club,"Problem Solving, Data Analysis, Programming, Leadership",Mathematics,2.71,"Japanese, French, English, Chinese, Spanish",Coding Club,Data Science
362,Physics,Coding Club,"Leadership, Public Speaking, Problem Solving, Programming, Artistic, Data Analysis",Computer Science,2.76,"Japanese, Spanish","Debate Club, Art Club, Coding Club, Volunteer Group, Sports Team, Music Club",Environmental Sustainability
363,Psychology,Volunteer Group,"Artistic, Problem Solving, Leadership, Public Speaking",Physics,2.17,"French, Chinese, Japanese, English, German, Spanish","Music Club, Volunteer Group, Sports Team",Cybersecurity
364,Physics,Debate Club,"Artistic, Programming, Data Analysis, Leadership",Psychology,2.43,"English, Japanese","Art Club, Music Club, Coding Club",Healthcare Management
365,Physics,Volunteer Group,"Public Speaking, Programming, Artistic, Problem Solving, Data Analysis",History,3.68,"Chinese, English, German, Spanish","Debate Club, Coding Club, Music Club, Art Club, Sports Team, Volunteer Group",Educational Technology
366,Mathematics,Music Club,"Problem Solving, Programming, Leadership",Computer Science,2.98,"Japanese, German, English, French","Volunteer Group, Debate Club, Music Club, Art Club, Sports Team, Coding Club",Behavioral Economics
367,Psychology,Volunteer Group,"Data Analysis, Programming",History,3.11,German,Sports Team,Data Science
368,Computer Science,Music Club,"Artistic, Leadership, Data Analysis, Programming",Biology,3.56,"Japanese, Chinese","Sports Team, Coding Club, Art Club, Debate Club, Music Club, Volunteer Group",Human-Computer Interaction
369,Psychology,Art Club,"Data Analysis, Public Speaking, Artistic",History,2.64,"Japanese, French, German, Chinese, English, Spanish","Music Club, Coding Club, Debate Club, Sports Team, Volunteer Group",Natural Language Processing
370,Mathematics,Volunteer Group,"Problem Solving, Public Speaking, Leadership",Psychology,2.5,"French, English, Spanish, German, Chinese","Volunteer Group, Sports Team, Debate Club, Music Club",Natural Language Processing
371,Mathematics,Coding Club,"Problem Solving, Public Speaking, Leadership, Programming, Data Analysis, Artistic",Physics,2.19,"German, English",Sports Team,Educational Technology
372,Physics,Debate Club,"Artistic, Leadership",Physics,3.86,"Spanish, German, Japanese","Volunteer Group, Coding Club, Music Club, Sports Team, Art Club",Renewable Energy
373,Mathematics,Sports Team,"Data Analysis, Problem Solving",Physics,2.43,"German, Chinese, Spanish, Japanese, English, French","Music Club, Volunteer Group, Sports Team, Debate Club",Biomedical Engineering
374,Mathematics,Music Club,"Programming, Leadership, Data Analysis, Artistic",Computer Science,2.86,"Spanish, French, German, Chinese, English","Volunteer Group, Coding Club, Music Club, Debate Club, Art Club, Sports Team",Renewable Energy
375,Physics,Sports Team,"Data Analysis, Artistic, Public Speaking, Programming, Leadership, Problem Solving",Physics,3.49,"Spanish, English",Debate Club,Sustainable Agriculture
376,Mathematics,Music Club,"Public Speaking, Artistic, Data Analysis, Leadership, Programming, Problem Solving",Psychology,2.21,"Chinese, English","Music Club, Debate Club, Volunteer Group, Coding Club, Sports Team",Nanotechnology
377,Psychology,Coding Club,"Data Analysis, Leadership, Artistic",History,2.13,"French, Japanese, English, German","Music Club, Volunteer Group, Sports Team",Healthcare Management
378,History,Coding Club,"Problem Solving, Public Speaking, Artistic, Leadership, Programming",Physics,2.34,French,"Coding Club, Volunteer Group, Debate Club, Music Club, Sports Team, Art Club",Sustainable Agriculture
379,Psychology,Volunteer Group,"Data Analysis, Problem Solving, Artistic",Psychology,3.42,"French, English, Chinese","Sports Team, Volunteer Group",Renewable Energy
380,Mathematics,Coding Club,"Problem Solving, Artistic, Public Speaking, Programming, Data Analysis",Biology,2.43,"Spanish, Chinese, French, Japanese, German","Music Club, Volunteer Group",Educational Technology
381,Biology,Sports Team,Programming,Computer Science,3.96,"Spanish, English",Coding Club,Behavioral Economics
382,Computer Science,Music Club,"Public Speaking, Artistic, Problem Solving, Leadership, Data Analysis",Computer Science,2.92,"English, German","Debate Club, Volunteer Group, Art Club",Renewable Energy
383,Biology,Debate Club,"Problem Solving, Data Analysis",Computer Science,2.93,"Chinese, French, Japanese, German, English","Art Club, Coding Club, Music Club, Volunteer Group, Sports Team, Debate Club",Biomedical Engineering
384,History,Debate Club,Programming,Computer Science,2.32,"German, Chinese, Spanish, English, French, Japanese","Sports Team, Volunteer Group, Music Club",Cybersecurity
385,Psychology,Volunteer Group,"Problem Solving, Data Analysis, Leadership, Programming",Physics,2.28,"German, Spanish, Japanese, French, Chinese, English",Coding Club,Climate Change
386,Mathematics,Music Club,"Programming, Data Analysis, Public Speaking",Mathematics,3.3,"Chinese, German, Spanish, Japanese, French, English","Sports Team, Volunteer Group",Urban Planning
387,Physics,Sports Team,"Data Analysis, Public Speaking, Programming",Computer Science,3.84,Japanese,"Music Club, Volunteer Group",Political Science
388,Computer Science,Sports Team,Artistic,Biology,3.69,"Chinese, German, Spanish, Japanese","Music Club, Debate Club, Sports Team",Educational Technology
389,Physics,Art Club,"Leadership, Programming",Biology,3.21,"Japanese, Chinese, English, Spanish, French","Music Club, Art Club",Social Sciences
390,History,Debate Club,"Data Analysis, Public Speaking, Artistic, Leadership, Problem Solving",Physics,3.31,"Japanese, German, French","Volunteer Group, Music Club",Quantum Computing
391,Psychology,Music Club,Leadership,Mathematics,3.26,French,"Sports Team, Music Club",Astrophysics
392,Computer Science,Debate Club,"Programming, Data Analysis, Leadership, Artistic, Problem Solving, Public Speaking",History,2.75,German,"Art Club, Debate Club, Music Club, Sports Team",Space Exploration
393,Biology,Music Club,"Leadership, Public Speaking, Problem Solving, Artistic, Programming",Physics,3.89,"Japanese, French, Spanish","Music Club, Debate Club, Volunteer Group",Climate Change
394,Biology,Art Club,"Data Analysis, Problem Solving, Artistic, Public Speaking, Programming",History,2.72,"French, Chinese, German, English","Volunteer Group, Music Club, Coding Club, Debate Club",Machine Learning
395,Psychology,Music Club,"Leadership, Artistic, Data Analysis, Programming, Problem Solving",History,2.53,"Chinese, English, French, German","Volunteer Group, Music Club, Coding Club, Sports Team, Debate Club",Urban Planning
396,Psychology,Art Club,"Programming, Leadership, Artistic, Public Speaking, Data Analysis, Problem Solving",Mathematics,3.81,Spanish,"Sports Team, Music Club, Debate Club, Art Club, Coding Club",Quantum Computing
397,Psychology,Sports Team,"Problem Solving, Artistic, Data Analysis, Public Speaking, Leadership, Programming",History,2.74,English,"Volunteer Group, Coding Club, Sports Team, Debate Club, Music Club, Art Club",Biomedical Engineering
398,Psychology,Music Club,"Programming, Public Speaking, Data Analysis, Problem Solving",Biology,3.94,"Spanish, French","Art Club, Coding Club, Debate Club",Natural Language Processing
399,Mathematics,Debate Club,Leadership,Mathematics,3.69,"Japanese, German, English",Volunteer Group,Urban Planning
400,Computer Science,Music Club,"Problem Solving, Leadership, Public Speaking, Artistic, Data Analysis",Psychology,2.46,"Japanese, Spanish, German, Chinese, French","Volunteer Group, Coding Club, Art Club",Cybersecurity
401,Mathematics,Sports Team,"Programming, Problem Solving, Data Analysis, Artistic",Psychology,3.21,"Japanese, German, English, French, Chinese, Spanish","Music Club, Volunteer Group, Art Club, Coding Club, Debate Club, Sports Team",Educational Technology
402,Psychology,Volunteer Group,"Problem Solving, Programming, Leadership",Mathematics,3.64,"English, Japanese, French, Chinese, Spanish","Coding Club, Art Club, Music Club",Climate Change
403,Biology,Coding Club,"Data Analysis, Artistic",Physics,3.72,"English, Chinese, Japanese, German","Coding Club, Music Club, Debate Club, Art Club",Healthcare Management
404,Biology,Debate Club,"Artistic, Leadership",Biology,2.72,"French, English, Spanish","Debate Club, Sports Team, Volunteer Group, Coding Club, Music Club",Climate Change
405,Computer Science,Coding Club,"Programming, Public Speaking, Leadership, Data Analysis",Mathematics,2.22,Chinese,"Coding Club, Music Club, Art Club, Debate Club",Educational Technology
406,Mathematics,Music Club,"Programming, Data Analysis, Leadership, Public Speaking, Artistic",History,3.37,"Spanish, French, Japanese",Debate Club,Nanotechnology
407,Psychology,Sports Team,"Public Speaking, Leadership",Physics,2.72,"French, Japanese, Spanish, Chinese, German, English","Sports Team, Coding Club, Debate Club, Volunteer Group, Music Club, Art Club",Machine Learning
408,Psychology,Sports Team,Programming,Physics,3.91,"Chinese, Spanish, French, English, German, Japanese","Sports Team, Art Club, Volunteer Group, Coding Club",Blockchain Technology
409,Biology,Music Club,"Artistic, Programming, Leadership, Data Analysis, Problem Solving",Mathematics,3.56,"French, English, Japanese, German","Music Club, Debate Club, Art Club, Volunteer Group, Coding Club",Biomedical Engineering
410,Psychology,Coding Club,"Public Speaking, Artistic, Leadership, Programming",Computer Science,2.19,"English, French, Japanese, Spanish","Music Club, Coding Club, Sports Team, Volunteer Group, Art Club",Renewable Energy
411,Computer Science,Debate Club,"Programming, Public Speaking, Leadership, Data Analysis, Artistic, Problem Solving",Mathematics,2.08,"English, German, Chinese, French","Volunteer Group, Art Club",Environmental Sustainability
412,History,Music Club,"Leadership, Data Analysis, Programming, Problem Solving, Artistic, Public Speaking",Computer Science,2.73,"English, Chinese, French, Spanish","Music Club, Art Club, Coding Club",Quantum Computing
413,Physics,Music Club,"Problem Solving, Leadership, Data Analysis",Biology,2.42,"French, Spanish, German, Chinese","Debate Club, Music Club, Volunteer Group",Cognitive Psychology
414,Psychology,Debate Club,"Data Analysis, Problem Solving, Leadership, Public Speaking",Mathematics,2.36,"Spanish, Japanese, German","Sports Team, Debate Club, Music Club",Urban Planning
415,History,Volunteer Group,"Data Analysis, Artistic, Leadership",Psychology,3.37,Chinese,Coding Club,Machine Learning
416,History,Art Club,"Public Speaking, Programming, Leadership",History,2.81,"Chinese, English, German, Japanese, French","Debate Club, Music Club, Sports Team, Art Club, Volunteer Group",Artificial Intelligence
417,Biology,Music Club,"Artistic, Public Speaking, Problem Solving, Programming, Leadership",Biology,2.4,"Japanese, Spanish","Sports Team, Debate Club, Volunteer Group, Music Club",Bioinformatics
418,Mathematics,Coding Club,"Leadership, Public Speaking, Artistic, Programming",Mathematics,3.99,English,"Debate Club, Music Club, Coding Club, Sports Team, Volunteer Group, Art Club",Data Science
419,Physics,Coding Club,"Public Speaking, Problem Solving, Leadership, Data Analysis, Programming",History,3.94,"Japanese, German, French, Spanish","Debate Club, Sports Team, Art Club",Healthcare Management
420,Physics,Debate Club,Leadership,Computer Science,3.71,"Chinese, Japanese, French","Debate Club, Sports Team, Music Club, Coding Club",Blockchain Technology
421,History,Sports Team,"Leadership, Problem Solving, Public Speaking, Artistic, Data Analysis",Mathematics,3.11,"French, German, Spanish","Volunteer Group, Music Club",Biomedical Engineering
422,Psychology,Music Club,"Data Analysis, Problem Solving, Artistic, Programming, Leadership",Psychology,2.38,"Japanese, German, Chinese",Sports Team,Cybersecurity
423,Mathematics,Music Club,"Data Analysis, Problem Solving, Artistic, Public Speaking",Psychology,2.65,"German, French, Japanese, Chinese, English","Volunteer Group, Debate Club, Coding Club, Sports Team",Sustainable Agriculture
424,Psychology,Sports Team,"Problem Solving, Artistic, Programming",Mathematics,3.54,"French, English, Japanese, German","Volunteer Group, Sports Team, Debate Club, Coding Club, Music Club",Robotics
425,History,Music Club,"Problem Solving, Leadership, Artistic",Computer Science,3.14,"German, Chinese","Debate Club, Sports Team",Environmental Sustainability
426,Computer Science,Sports Team,Artistic,History,2.99,"Spanish, French, English","Coding Club, Music Club, Volunteer Group",Social Sciences
427,Psychology,Debate Club,"Programming, Problem Solving, Artistic",Mathematics,2.47,Spanish,"Coding Club, Volunteer Group",Space Exploration
428,History,Debate Club,"Artistic, Data Analysis, Problem Solving, Leadership, Public Speaking",Psychology,2.69,"Spanish, Japanese, English, Chinese, French, German","Coding Club, Debate Club",Bioinformatics
429,Psychology,Coding Club,"Leadership, Artistic, Public Speaking, Programming",Mathematics,2.93,"Chinese, Japanese, Spanish, German, French","Art Club, Sports Team, Coding Club, Volunteer Group, Music Club",Natural Language Processing
430,Physics,Art Club,Data Analysis,Psychology,3.22,"English, German, Chinese","Sports Team, Music Club, Coding Club, Volunteer Group",Renewable Energy
431,History,Coding Club,"Programming, Artistic, Public Speaking",Mathematics,2.84,"Japanese, English, German, Chinese, Spanish","Sports Team, Volunteer Group",Bioinformatics
432,Physics,Music Club,"Problem Solving, Artistic, Data Analysis, Public Speaking",Mathematics,3.85,"Japanese, French, English, German, Spanish, Chinese","Art Club, Debate Club, Coding Club, Music Club",Climate Change
433,Physics,Sports Team,"Problem Solving, Programming, Data Analysis, Public Speaking, Artistic",Computer Science,2.75,"French, German, English, Spanish, Chinese, Japanese","Volunteer Group, Music Club, Sports Team, Art Club, Coding Club",Political Science
434,Biology,Sports Team,"Programming, Problem Solving",Psychology,2.5,"German, Japanese, English","Sports Team, Art Club, Volunteer Group, Music Club",Biomedical Engineering
435,Mathematics,Debate Club,"Programming, Artistic, Leadership, Data Analysis",Mathematics,2.12,"Chinese, Spanish","Volunteer Group, Art Club, Music Club, Debate Club",Quantum Computing
436,Biology,Sports Team,"Programming, Leadership, Artistic",Mathematics,2.73,Spanish,"Sports Team, Art Club, Music Club, Volunteer Group",Environmental Sustainability
437,Computer Science,Sports Team,"Data Analysis, Public Speaking, Artistic, Problem Solving, Programming",Psychology,3.48,"Spanish, German, English, Japanese, French, Chinese","Debate Club, Art Club, Volunteer Group",Climate Change
438,Computer Science,Debate Club,"Public Speaking, Problem Solving, Artistic, Data Analysis, Leadership, Programming",Psychology,2.37,"Spanish, English, Japanese, French, German","Music Club, Volunteer Group, Sports Team, Coding Club, Debate Club, Art Club",Nanotechnology
439,Physics,Coding Club,"Programming, Public Speaking, Data Analysis, Problem Solving, Artistic",Psychology,3.06,French,Art Club,Social Sciences
440,Physics,Music Club,Leadership,Mathematics,3.74,"English, German, Chinese, Spanish, Japanese, French","Art Club, Volunteer Group",Cognitive Psychology
441,History,Coding Club,"Programming, Problem Solving, Data Analysis, Leadership, Public Speaking, Artistic",Mathematics,2.72,"Spanish, Japanese, English, German","Debate Club, Coding Club, Volunteer Group, Sports Team",Renewable Energy
442,Computer Science,Art Club,"Public Speaking, Artistic, Data Analysis, Programming, Problem Solving",Computer Science,3.05,"English, French, Spanish, German, Chinese","Volunteer Group, Sports Team, Music Club, Debate Club, Coding Club, Art Club",Urban Planning
443,Physics,Coding Club,"Leadership, Public Speaking, Artistic, Programming, Data Analysis, Problem Solving",Psychology,2.08,"Chinese, Spanish, French","Music Club, Volunteer Group, Art Club, Sports Team, Debate Club, Coding Club",Cognitive Psychology
444,History,Volunteer Group,"Public Speaking, Leadership, Artistic, Data Analysis",Computer Science,2.06,"French, Japanese, Spanish","Art Club, Sports Team",Healthcare Management
445,Physics,Music Club,"Leadership, Artistic, Public Speaking, Problem Solving, Data Analysis",Psychology,3.83,"German, Chinese, Japanese, French","Volunteer Group, Art Club, Debate Club",Blockchain Technology
446,Computer Science,Volunteer Group,"Artistic, Public Speaking, Programming, Problem Solving",Physics,2.85,"English, French, German, Japanese, Chinese, Spanish","Sports Team, Coding Club",Nanotechnology
447,Biology,Art Club,Artistic,Computer Science,2.78,"Chinese, English, Spanish, Japanese, French, German",Coding Club,Climate Change
448,Mathematics,Sports Team,"Leadership, Problem Solving, Programming",Physics,2.63,"French, Japanese, German, Spanish",Sports Team,Political Science
449,Physics,Debate Club,"Artistic, Problem Solving, Leadership",Psychology,3.33,"English, German, Spanish","Art Club, Coding Club, Volunteer Group, Debate Club, Music Club",Blockchain Technology
450,Biology,Debate Club,"Leadership, Public Speaking, Programming, Data Analysis, Problem Solving, Artistic",Computer Science,2.03,"English, German, Chinese, French",Coding Club,Environmental Sustainability
451,Psychology,Art Club,"Artistic, Programming, Problem Solving, Data Analysis",Physics,2.76,"English, French, Japanese, Spanish, German","Sports Team, Debate Club, Art Club, Volunteer Group, Coding Club",Environmental Sustainability
452,History,Music Club,"Artistic, Programming, Problem Solving, Data Analysis",History,2.16,"German, English, French, Japanese, Chinese, Spanish",Coding Club,Nanotechnology
453,Psychology,Debate Club,"Leadership, Public Speaking, Artistic, Problem Solving, Data Analysis, Programming",History,2.58,"German, Japanese, French",Sports Team,Environmental Sustainability
454,Psychology,Debate Club,"Data Analysis, Programming, Artistic, Problem Solving, Leadership",Physics,2.17,"German, Chinese, French, English, Spanish","Sports Team, Music Club, Art Club",Social Sciences
455,Biology,Volunteer Group,Leadership,Psychology,3.08,"Japanese, English, German","Sports Team, Music Club, Art Club, Volunteer Group, Debate Club, Coding Club",Sustainable Agriculture
456,Mathematics,Debate Club,"Public Speaking, Problem Solving, Data Analysis, Leadership",Computer Science,3.65,"French, German, Spanish, English","Sports Team, Volunteer Group",Blockchain Technology
457,History,Sports Team,"Artistic, Leadership, Problem Solving, Public Speaking, Programming, Data Analysis",History,2.01,"Spanish, Chinese, French, English, Japanese, German","Coding Club, Music Club, Volunteer Group",Climate Change
458,History,Music Club,"Public Speaking, Programming",Biology,3.61,"German, Japanese, English, French, Chinese","Debate Club, Art Club, Sports Team, Volunteer Group",Machine Learning
459,Physics,Music Club,"Programming, Leadership",Mathematics,3.48,"Spanish, German, Japanese, French, Chinese, English",Music Club,Climate Change
460,History,Coding Club,"Data Analysis, Programming, Problem Solving, Leadership, Public Speaking",Psychology,2.38,"Spanish, Japanese, English, German","Coding Club, Sports Team, Volunteer Group",Healthcare Management
461,Mathematics,Music Club,Data Analysis,History,3.35,French,"Sports Team, Debate Club, Art Club",Cybersecurity
462,Mathematics,Debate Club,"Leadership, Public Speaking, Data Analysis, Programming",Mathematics,2.84,"German, Spanish, French, Japanese, Chinese","Coding Club, Volunteer Group, Sports Team",Educational Technology
463,History,Sports Team,"Programming, Artistic, Data Analysis",History,2.65,Japanese,"Art Club, Sports Team, Debate Club, Music Club, Coding Club",Sustainable Agriculture
464,Computer Science,Sports Team,"Programming, Public Speaking, Leadership, Artistic, Data Analysis",Biology,2.85,"German, Japanese, French","Coding Club, Sports Team",Climate Change
465,Mathematics,Music Club,"Problem Solving, Programming, Public Speaking",History,3.45,Spanish,"Debate Club, Volunteer Group, Art Club, Sports Team, Music Club",Bioinformatics
466,Mathematics,Coding Club,"Artistic, Leadership, Data Analysis",Biology,2.69,"Spanish, Japanese","Volunteer Group, Debate Club, Sports Team, Coding Club",Machine Learning
467,History,Debate Club,"Programming, Leadership, Data Analysis, Problem Solving, Artistic",Mathematics,2.7,"Japanese, French","Art Club, Music Club",Behavioral Economics
468,Mathematics,Sports Team,"Leadership, Public Speaking, Artistic, Programming, Problem Solving, Data Analysis",History,2.96,"Spanish, Japanese, Chinese, German","Debate Club, Music Club, Volunteer Group",Natural Language Processing
469,History,Art Club,Public Speaking,History,3.16,"Japanese, German, French, English, Spanish, Chinese","Sports Team, Volunteer Group",Astrophysics
470,History,Music Club,"Programming, Leadership, Data Analysis, Public Speaking, Artistic",Psychology,2.57,"Spanish, French","Music Club, Debate Club, Sports Team, Coding Club, Volunteer Group, Art Club",Quantum Computing
471,History,Art Club,"Leadership, Data Analysis, Public Speaking, Artistic",Physics,3.14,"Chinese, German","Coding Club, Art Club, Volunteer Group, Music Club, Sports Team",Astrophysics
472,History,Coding Club,"Public Speaking, Leadership, Programming, Problem Solving, Data Analysis, Artistic",Biology,3.51,"English, Japanese, German, Spanish, Chinese, French","Music Club, Sports Team, Coding Club, Volunteer Group, Art Club",Social Sciences
473,Computer Science,Volunteer Group,"Problem Solving, Leadership, Programming, Public Speaking",Mathematics,2.76,"French, Chinese, German","Coding Club, Debate Club, Music Club",Astrophysics
474,Biology,Art Club,"Artistic, Programming",Mathematics,2.02,"French, German, English",Debate Club,Astrophysics
475,Biology,Music Club,"Artistic, Leadership, Problem Solving, Programming, Data Analysis, Public Speaking",Computer Science,2.01,"Spanish, French","Music Club, Sports Team",Bioinformatics
476,Psychology,Music Club,"Public Speaking, Problem Solving, Artistic",Biology,3.73,"Chinese, Spanish, German, French, English","Debate Club, Coding Club, Music Club",Natural Language Processing
477,Biology,Sports Team,Public Speaking,Psychology,2.16,Chinese,"Sports Team, Debate Club, Art Club, Volunteer Group",Climate Change
478,Computer Science,Debate Club,"Problem Solving, Leadership",Biology,3.51,"German, Spanish, English, Japanese","Sports Team, Coding Club, Debate Club, Art Club, Music Club, Volunteer Group",Urban Planning
479,Physics,Sports Team,"Problem Solving, Data Analysis, Public Speaking, Programming",Physics,3.85,"Japanese, Chinese, German, English, French","Sports Team, Debate Club",Natural Language Processing
480,Physics,Music Club,"Programming, Problem Solving",History,3.23,"English, German, Spanish, Japanese","Music Club, Volunteer Group, Coding Club",Healthcare Management
481,Psychology,Sports Team,"Artistic, Programming, Data Analysis, Public Speaking, Problem Solving, Leadership",Physics,2.12,French,"Sports Team, Volunteer Group, Art Club, Coding Club",Social Sciences
482,Mathematics,Art Club,"Problem Solving, Leadership, Artistic, Data Analysis",History,3.67,"Japanese, German","Coding Club, Art Club, Volunteer Group",Cognitive Psychology
483,Computer Science,Debate Club,"Artistic, Problem Solving, Leadership, Data Analysis, Public Speaking, Programming",Biology,2.25,English,"Art Club, Sports Team",Renewable Energy
484,Biology,Music Club,"Data Analysis, Leadership",History,2.75,"English, German","Music Club, Coding Club, Debate Club, Volunteer Group, Sports Team",Climate Change
485,Psychology,Coding Club,Data Analysis,Computer Science,2.88,"English, French, Japanese, Chinese","Debate Club, Volunteer Group, Art Club, Music Club, Coding Club, Sports Team",Political Science
486,Physics,Music Club,"Problem Solving, Data Analysis, Programming",Biology,2.6,"French, Japanese, German, English, Spanish","Debate Club, Sports Team",Astrophysics
487,Biology,Art Club,"Artistic, Leadership, Data Analysis, Problem Solving",Biology,3.79,"Chinese, Japanese, French, German, English, Spanish","Debate Club, Art Club, Coding Club, Sports Team",Political Science
488,Computer Science,Coding Club,Programming,History,3.04,"Spanish, Chinese, Japanese, German, English, French","Debate Club, Sports Team, Art Club, Music Club, Volunteer Group",Political Science
489,Biology,Debate Club,"Programming, Problem Solving, Artistic, Data Analysis",History,3.39,"Spanish, English, Japanese, Chinese","Debate Club, Coding Club, Music Club, Volunteer Group, Art Club",Healthcare Management
490,Computer Science,Debate Club,"Artistic, Data Analysis, Problem Solving, Public Speaking, Programming, Leadership",Physics,2.35,"English, Japanese, Spanish, German","Debate Club, Art Club, Sports Team, Music Club, Volunteer Group, Coding Club",Renewable Energy
491,Biology,Sports Team,"Leadership, Programming, Public Speaking, Artistic",History,2.29,"German, Spanish","Coding Club, Art Club, Music Club, Sports Team, Volunteer Group",Biomedical Engineering
